,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23,t+24,t+25,t+26,t+27,t+28,t+29,t+30,t+31,t+32,t+33,t+34,t+35,t+36,t+37,t+38
2024-03-12 18:45:00+01:00,65.96245,53.14811,23.096151,19.285322,53.41987,80.37194,134.76697,163.43713,183.76474,189.01846,209.96034,178.75334,113.09266,80.92213,64.42198,62.83779,50.111313,51.44838,47.21817,54.062973,74.165054,70.428955,92.254425,90.933784,93.22554
2024-03-12 19:00:00+01:00,57.336624,46.607796,10.267054,6.5088906,34.393475,77.02904,136.6732,165.1753,183.61238,189.90286,200.16615,172.36426,92.51614,79.66242,54.38475,58.545498,45.8412,52.768555,46.840107,54.062973,74.55261,92.910706,114.28966,86.15471,81.165405
2024-03-12 19:15:00+01:00,57.336624,46.607796,9.728659,6.5088906,34.393475,77.02904,136.6732,165.1753,182.34955,189.90286,200.16615,171.77068,92.51614,79.66242,54.38475,52.453255,45.789062,52.768555,46.840107,54.062973,74.55261,92.910706,114.28966,86.15471,81.165405
2024-03-12 19:30:00+01:00,57.546303,46.607796,9.728659,6.5088906,34.393475,77.02904,136.6732,165.1753,182.34955,185.13821,199.34958,171.77068,93.241135,80.66007,58.286793,53.914074,46.679688,52.757336,50.16853,55.582996,76.75514,93.67781,114.720695,84.81015,81.165405
2024-03-12 19:45:00+01:00,58.218292,46.607796,9.728659,6.5088906,34.393475,77.02904,136.6732,165.1753,182.34955,185.13821,193.70341,166.95729,93.241135,81.90621,60.42265,55.99428,47.131226,52.460155,50.16853,54.874737,76.75514,94.41733,114.720695,84.81015,79.27908
2024-03-12 20:00:00+01:00,42.754494,31.144709,-0.0136362165,-4.5902686,31.654036,80.59551,136.37746,166.61542,187.75296,183.07523,182.57404,165.8724,90.63507,79.455605,66.704796,56.125656,51.38823,55.68485,50.16853,53.338207,99.029076,120.9586,121.32802,68.0391,62.127697
2024-03-12 20:15:00+01:00,42.754494,31.144709,-0.0136362165,-4.5902686,32.271744,80.59551,136.37746,166.61542,186.24847,183.07523,182.57404,165.8724,90.63507,79.455605,66.704796,56.125656,51.264416,49.69343,50.16853,53.338207,99.029076,120.9586,121.32802,68.0391,62.127697
2024-03-12 20:30:00+01:00,42.754494,30.439663,-0.0136362165,-4.5902686,32.271744,80.59551,136.37746,166.61542,186.24847,183.07523,182.57404,165.52686,93.17766,79.455605,66.704796,56.125656,51.264416,51.434853,50.16853,53.338207,99.029076,120.9586,121.32802,68.0391,56.87686
2024-03-12 20:45:00+01:00,42.754494,30.439663,4.0392647,-4.5902686,29.416939,80.59551,136.37746,166.61542,186.24847,189.05984,181.4332,165.52686,93.17766,79.455605,65.69166,56.125656,51.264416,51.434853,50.16853,54.774967,99.029076,120.9586,121.32802,68.0391,56.87686
2024-03-12 21:00:00+01:00,11.721203,11.708263,-7.9666104,-4.5902686,16.45843,83.18059,135.31178,165.15468,183.1399,186.0033,183.52524,165.88416,85.07938,77.6529,61.15116,57.75256,51.260517,51.434853,58.567932,80.582825,118.52996,124.852936,112.03633,55.93549,41.6466
2024-03-12 21:15:00+01:00,11.721203,11.708263,-7.9666104,-4.5902686,16.45843,81.00379,135.31178,165.15468,184.34593,186.0033,181.99277,179.85796,85.07938,77.6529,61.15116,59.527996,51.260517,51.434853,58.340446,83.87627,122.634674,124.852936,112.03633,55.93549,41.6466
2024-03-12 21:30:00+01:00,11.721203,11.708263,-7.9666104,-4.7903647,16.45843,81.00966,135.88441,165.15468,187.44894,186.52368,181.99277,180.17543,85.07938,78.388245,61.15116,59.839897,51.260517,51.434853,58.340446,83.87627,126.74153,124.852936,105.548775,56.05666,41.6466
2024-03-12 21:45:00+01:00,11.721203,11.708263,-7.9666104,-4.7903647,17.477194,81.00966,135.88441,165.15468,187.44894,186.52368,182.51715,180.17543,89.04074,78.388245,61.15116,59.839897,49.373203,51.434853,58.479958,83.44623,126.74153,124.852936,105.548775,56.05666,41.6466
2024-03-12 22:00:00+01:00,-13.53134,-31.964067,-8.420098,-30.243307,25.394627,91.985855,146.28639,166.46652,188.5098,186.90895,185.48892,172.02318,86.3121,72.46735,64.0085,59.08874,49.29711,57.591232,83.69446,96.58206,128.02354,116.977135,85.51995,39.698765,35.45956
2024-03-12 22:15:00+01:00,-13.53134,-31.964067,-8.420098,-30.243307,25.394627,89.24625,145.67377,168.46365,189.97574,186.90895,185.48892,172.02318,87.65404,72.46735,64.0085,59.08874,49.29711,57.591232,84.18905,96.58206,128.02354,116.977135,84.52154,40.23798,35.45956
2024-03-12 22:30:00+01:00,-13.53134,-31.964067,-8.420098,-30.243307,25.394627,89.92634,146.99902,167.75095,189.83725,186.90895,189.577,170.559,87.65404,72.46735,64.0085,60.6502,49.29711,56.62314,84.18905,97.06697,128.02354,116.977135,84.52154,40.23798,35.45956
2024-03-12 22:45:00+01:00,-13.53134,-31.521776,-13.553503,-30.243307,25.394627,89.92634,145.68958,167.75095,189.83725,186.90895,189.577,170.559,87.65404,72.46735,64.0085,60.6502,49.29711,56.62314,84.18905,97.06697,128.04938,115.6222,84.52154,40.23798,35.45956
